SJC, LAX, LHR, KIX, DFW

3232235777
128.0.0.0
2889875456 524288
172.64.2.0 	 colo=SJC
172.64.0.128 	 colo=SJC
172.64.2.64 	 colo=LAX
172.64.5.128 	 colo=LAX
172.64.6.128 	 colo=SJC
172.64.4.64 	 colo=SJC
172.64.3.64 	 colo=LAX
172.64.6.192 	 colo=SJC
172.64.5.192 	 colo=SJC
172.64.6.0 	 colo=LAX
172.64.0.0 	 colo=LAX
172.64.3.128 	 colo=SJC
172.64.4.128 	 colo=SJC
172.64.4.192 	 colo=LAX
172.64.3.0 	 colo=SJC
172.64.5.0 	 colo=LAX
172.64.2.192 	 colo=SJC
172.64.1.64 	 colo=LAX
172.64.5.64 	 colo=LAX
172.64.6.64 	 colo=LAX
172.64.2.128 	 colo=SJC
172.64.3.192 	 colo=SJC
172.64.4.0 	 colo=LAX
172.64.0.192 	 colo=LAX
172.64.7.0 	 colo=SJC
172.64.7.64 	 colo=SJC
172.64.1.192 	 colo=SJC
172.64.1.128 	 colo=SJC
172.64.0.64 	 colo=SJC
172.64.1.0 	 colo=LAX
172.64.7.128 	 colo=LAX
172.64.7.192 	 colo=SJC
172.64.8.0 	 colo=LAX
172.64.8.64 	 colo=SJC
172.64.8.128 	 colo=SJC
172.64.9.0 	 colo=LAX
172.64.8.192 	 colo=LAX
172.64.9.128 	 colo=SJC
172.64.10.64 	 colo=LAX
172.64.11.0 	 colo=LAX
172.64.10.0 	 colo=LAX
172.64.11.128 	 colo=SJC
172.64.11.64 	 colo=LAX
172.64.9.192 	 colo=SJC
172.64.10.128 	 colo=SJC
172.64.10.192 	 colo=SJC
172.64.12.0 	 colo=SJC
172.64.9.64 	 colo=SJC
172.64.13.0 	 colo=LAX
172.64.13.128 	 colo=LAX
172.64.13.64 	 colo=LAX
172.64.13.192 	 colo=SJC
172.64.12.128 	 colo=LAX
172.64.11.192 	 colo=LAX
172.64.12.192 	 colo=LAX
172.64.14.128 	 colo=LAX
172.64.14.0 	 colo=SJC
172.64.14.64 	 colo=SJC
172.64.14.192 	 colo=SJC
172.64.15.0 	 colo=LAX
172.64.15.128 	 colo=SJC
172.64.15.64 	 colo=SJC
172.64.15.192 	 colo=LAX
172.64.16.192 	 colo=LHR
172.64.16.128 	 colo=LHR
172.64.16.64 	 colo=LHR
172.64.17.0 	 colo=LHR
172.64.16.0 	 colo=LHR
172.64.17.64 	 colo=LHR
172.64.17.128 	 colo=LHR
172.64.17.192 	 colo=LHR
172.64.18.64 	 colo=LHR
172.64.19.0 	 colo=LHR
172.64.18.0 	 colo=LHR
172.64.18.192 	 colo=LHR
172.64.18.128 	 colo=LHR
172.64.20.0 	 colo=LHR
172.64.19.64 	 colo=LHR
172.64.20.128 	 colo=LHR
172.64.19.192 	 colo=LHR
172.64.20.64 	 colo=LHR
172.64.19.128 	 colo=LHR
172.64.20.192 	 colo=LHR
172.64.12.64 	 colo=LAX
172.64.21.0 	 colo=LHR
172.64.21.64 	 colo=LHR
172.64.22.0 	 colo=LHR
172.64.21.192 	 colo=LHR
172.64.22.128 	 colo=LHR
172.64.22.192 	 colo=LHR
172.64.22.64 	 colo=LHR
172.64.23.0 	 colo=LHR
172.64.21.128 	 colo=LHR
172.64.23.128 	 colo=LHR
172.64.23.64 	 colo=LHR
172.64.25.64 	 colo=LHR
172.64.24.64 	 colo=LHR
172.64.24.0 	 colo=LHR
172.64.25.0 	 colo=LHR
172.64.24.128 	 colo=LHR
172.64.23.192 	 colo=LHR
172.64.25.128 	 colo=LHR
172.64.25.192 	 colo=LHR
172.64.24.192 	 colo=LHR
172.64.26.192 	 colo=LHR
172.64.26.0 	 colo=LHR
172.64.27.128 	 colo=LHR
172.64.26.128 	 colo=LHR
172.64.28.64 	 colo=LHR
172.64.27.64 	 colo=LHR
172.64.26.64 	 colo=LHR
172.64.28.0 	 colo=LHR
172.64.28.128 	 colo=LHR
172.64.28.192 	 colo=LHR
172.64.27.192 	 colo=LHR
172.64.29.0 	 colo=LHR
172.64.29.64 	 colo=LHR
172.64.29.128 	 colo=LHR
172.64.27.0 	 colo=LHR
172.64.29.192 	 colo=LHR
172.64.30.0 	 colo=LHR
172.64.30.64 	 colo=LHR
172.64.31.128 	 colo=LHR
172.64.31.0 	 colo=LHR
172.64.30.192 	 colo=LHR
172.64.30.128 	 colo=LHR
172.64.31.64 	 colo=LHR
172.64.32.64 	 colo=NRT
172.64.32.0 	 colo=KIX
172.64.31.192 	 colo=LHR
172.64.33.0 	 colo=NRT
172.64.32.128 	 colo=NRT
172.64.33.192 	 colo=KIX
172.64.33.128 	 colo=KIX
172.64.34.64 	 colo=NRT
172.64.34.192 	 colo=KIX
172.64.35.0 	 colo=NRT
172.64.35.128 	 colo=KIX
172.64.36.0 	 colo=KIX
172.64.35.64 	 colo=KIX
172.64.36.192 	 colo=KIX
172.64.38.0 	 colo=KIX
172.64.37.64 	 colo=KIX
172.64.37.128 	 colo=KIX
172.64.36.64 	 colo=NRT
172.64.38.64 	 colo=NRT
172.64.38.128 	 colo=NRT
172.64.39.0 	 colo=NRT
172.64.35.192 	 colo=NRT
172.64.39.128 	 colo=NRT
172.64.38.192 	 colo=KIX
172.64.40.64 	 colo=NRT
172.64.40.192 	 colo=NRT
172.64.41.64 	 colo=NRT
172.64.40.128 	 colo=KIX
172.64.41.128 	 colo=NRT
172.64.42.128 	 colo=NRT
172.64.37.0 	 colo=NRT
172.64.42.192 	 colo=NRT
172.64.42.64 	 colo=NRT
172.64.42.0 	 colo=NRT
172.64.43.64 	 colo=KIX
172.64.43.0 	 colo=KIX
172.64.43.128 	 colo=KIX
172.64.44.0 	 colo=NRT
172.64.44.64 	 colo=KIX
172.64.39.192 	 colo=KIX
172.64.34.128 	 colo=NRT
172.64.46.0 	 colo=NRT
172.64.44.192 	 colo=NRT
172.64.45.0 	 colo=KIX
172.64.46.192 	 colo=KIX
172.64.48.64 	 colo=LAX
172.64.46.64 	 colo=KIX
172.64.45.64 	 colo=NRT
172.64.47.64 	 colo=NRT
172.64.45.128 	 colo=NRT
172.64.48.0 	 colo=LAX
172.64.47.0 	 colo=KIX
172.64.46.128 	 colo=NRT
172.64.48.192 	 colo=LAX
172.64.49.64 	 colo=LAX
172.64.49.0 	 colo=SJC
172.64.48.128 	 colo=LAX
172.64.47.128 	 colo=KIX
172.64.34.0 	 colo=KIX
172.64.49.128 	 colo=LAX
172.64.49.192 	 colo=SJC
172.64.50.0 	 colo=LAX
172.64.50.128 	 colo=SJC
172.64.50.64 	 colo=SJC
172.64.41.192 	 colo=NRT
172.64.50.192 	 colo=SJC
172.64.51.0 	 colo=LAX
172.64.51.64 	 colo=SJC
172.64.51.192 	 colo=SJC
172.64.52.64 	 colo=SJC
172.64.52.0 	 colo=LAX
172.64.45.192 	 colo=NRT
172.64.51.128 	 colo=SJC
172.64.52.192 	 colo=SJC
172.64.53.64 	 colo=SJC
172.64.54.0 	 colo=SJC
172.64.53.128 	 colo=SJC
172.64.52.128 	 colo=LAX
172.64.53.0 	 colo=LAX
172.64.54.192 	 colo=SJC
172.64.32.192 	 
172.64.54.128 	 colo=LAX
172.64.53.192 	 colo=SJC
172.64.55.0 	 colo=LAX
172.64.33.64 	 
172.64.47.192 	 colo=KIX
172.64.55.64 	 colo=SJC
172.64.55.128 	 colo=SJC
172.64.55.192 	 colo=LAX
172.64.56.0 	 colo=LAX
172.64.56.64 	 colo=LAX
172.64.36.128 	 
172.64.56.128 	 colo=SJC
172.64.37.192 	 
172.64.39.64 	 
172.64.56.192 	 colo=LAX
172.64.57.0 	 colo=LAX
172.64.57.192 	 colo=SJC
172.64.58.128 	 colo=SJC
172.64.58.64 	 colo=LAX
172.64.57.128 	 colo=LAX
172.64.58.0 	 colo=LAX
172.64.59.64 	 colo=LAX
172.64.40.0 	 
172.64.54.64 	 colo=SJC
172.64.59.0 	 colo=LAX
172.64.58.192 	 colo=LAX
172.64.60.64 	 colo=LAX
172.64.60.0 	 colo=SJC
172.64.59.192 	 colo=SJC
172.64.59.128 	 colo=SJC
172.64.60.192 	 colo=LAX
172.64.41.0 	 
172.64.61.64 	 colo=SJC
172.64.60.128 	 colo=LAX
172.64.61.0 	 colo=LAX
172.64.61.128 	 colo=SJC
172.64.62.0 	 colo=SJC
172.64.61.192 	 colo=SJC
172.64.62.64 	 colo=SJC
172.64.43.192 	 
172.64.62.192 	 colo=LAX
172.64.62.128 	 colo=LAX
172.64.63.0 	 colo=SJC
172.64.63.64 	 colo=SJC
172.64.64.128 	 colo=SJC
172.64.63.128 	 colo=LAX
172.64.63.192 	 colo=SJC
172.64.64.192 	 colo=SJC
172.64.65.0 	 colo=SJC
172.64.64.0 	 colo=LAX
172.64.64.64 	 colo=SJC
172.64.65.128 	 colo=SJC
172.64.65.64 	 colo=SJC
172.64.66.0 	 colo=SJC
172.64.65.192 	 colo=SJC
172.64.66.192 	 colo=SJC
172.64.67.0 	 colo=SJC
172.64.66.64 	 colo=LAX
172.64.66.128 	 colo=LAX
172.64.67.64 	 colo=LAX
172.64.67.128 	 colo=LAX
172.64.67.192 	 colo=LAX
172.64.57.64 	 colo=SJC
172.64.68.128 	 colo=SJC
172.64.68.64 	 colo=LAX
172.64.68.0 	 colo=SJC
172.64.69.0 	 colo=SJC
172.64.69.64 	 colo=LAX
172.64.69.128 	 colo=LAX
172.64.70.0 	 colo=SJC
172.64.70.128 	 colo=LAX
172.64.70.64 	 colo=LAX
