HKG, SIN, SEA, NRT, KIX

3232235777
128.0.0.0
1745879040 1048576
104.16.3.0 	 colo=HKG
104.16.5.64 	 colo=HKG
104.16.2.64 	 colo=HKG
104.16.2.128 	 colo=HKG
104.16.0.0 	 colo=HKG
104.16.1.64 	 colo=HKG
104.16.3.192 	 colo=HKG
104.16.5.192 	 colo=HKG
104.16.1.192 	 colo=HKG
104.16.5.0 	 colo=HKG
104.16.0.192 	 colo=HKG
104.16.2.192 	 colo=HKG
104.16.8.0 	 colo=HKG
104.16.0.128 	 colo=HKG
104.16.6.64 	 colo=HKG
104.16.4.192 	 colo=HKG
104.16.6.192 	 colo=HKG
104.16.4.128 	 colo=HKG
104.16.9.192 	 colo=HKG
104.16.9.64 	 colo=HKG
104.16.10.128 	 colo=HKG
104.16.8.192 	 colo=HKG
104.16.8.128 	 colo=HKG
104.16.11.0 	 colo=HKG
104.16.11.192 	 colo=HKG
104.16.12.64 	 colo=HKG
104.16.11.128 	 colo=HKG
104.16.7.0 	 colo=HKG
104.16.11.64 	 colo=HKG
104.16.10.64 	 colo=HKG
104.16.14.64 	 colo=HKG
104.16.12.192 	 colo=HKG
104.16.7.192 	 colo=HKG
104.16.3.128 	 colo=HKG
104.16.4.64 	 colo=HKG
104.16.15.0 	 colo=HKG
104.16.13.64 	 colo=HKG
104.16.14.0 	 colo=HKG
104.16.15.192 	 colo=HKG
104.16.15.128 	 colo=HKG
104.16.16.0 	 colo=HKG
104.16.16.64 	 colo=HKG
104.16.17.0 	 colo=HKG
104.16.17.64 	 colo=HKG
104.16.17.128 	 colo=HKG
104.16.0.64 	 colo=HKG
104.16.12.0 	 colo=HKG
104.16.18.0 	 colo=HKG
104.16.19.128 	 colo=HKG
104.16.19.0 	 colo=HKG
104.16.19.64 	 colo=HKG
104.16.15.64 	 colo=HKG
104.16.18.128 	 colo=HKG
104.16.1.128 	 colo=HKG
104.16.13.128 	 colo=HKG
104.16.21.128 	 colo=HKG
104.16.7.128 	 colo=HKG
104.16.6.128 	 colo=HKG
104.16.5.128 	 colo=HKG
104.16.6.0 	 colo=HKG
104.16.9.0 	 colo=HKG
104.16.8.64 	 colo=HKG
104.16.22.128 	 colo=HKG
104.16.10.192 	 colo=HKG
104.16.20.128 	 colo=HKG
104.16.23.0 	 colo=HKG
104.16.12.128 	 colo=HKG
104.16.21.0 	 colo=HKG
104.16.24.0 	 colo=HKG
104.16.13.0 	 colo=HKG
104.16.7.64 	 colo=HKG
104.16.23.192 	 colo=HKG
104.16.14.128 	 colo=HKG
104.16.14.192 	 colo=HKG
104.16.25.128 	 colo=HKG
104.16.13.192 	 colo=HKG
104.16.24.192 	 colo=HKG
104.16.25.64 	 colo=HKG
104.16.19.192 	 colo=HKG
104.16.16.128 	 colo=HKG
104.16.26.128 	 colo=HKG
104.16.23.64 	 colo=HKG
104.16.26.0 	 colo=HKG
104.16.27.128 	 colo=HKG
104.16.27.192 	 colo=HKG
104.16.18.64 	 colo=HKG
104.16.28.64 	 colo=HKG
104.16.25.192 	 colo=HKG
104.16.29.64 	 colo=HKG
104.16.27.0 	 colo=HKG
104.16.22.64 	 colo=HKG
104.16.9.128 	 colo=HKG
104.16.29.128 	 colo=HKG
104.16.20.0 	 colo=HKG
104.16.29.192 	 colo=HKG
104.16.31.0 	 colo=HKG
104.16.30.128 	 colo=HKG
104.16.20.192 	 colo=HKG
104.16.21.64 	 colo=HKG
104.16.31.64 	 colo=HKG
104.16.32.128 	 colo=HKG
104.16.2.0 	 colo=HKG
104.16.33.0 	 colo=HKG
104.16.3.64 	 colo=HKG
104.16.32.192 	 colo=HKG
104.16.34.0 	 colo=HKG
104.16.23.128 	 colo=HKG
104.16.32.0 	 colo=HKG
104.16.25.0 	 colo=HKG
104.16.34.128 	 colo=HKG
104.16.24.128 	 colo=HKG
104.16.33.128 	 colo=HKG
104.16.34.64 	 colo=HKG
104.16.22.0 	 colo=HKG
104.16.34.192 	 colo=HKG
104.16.35.128 	 colo=HKG
104.16.21.192 	 colo=HKG
104.16.35.192 	 colo=HKG
104.16.35.0 	 colo=HKG
104.16.28.0 	 colo=HKG
104.16.36.0 	 colo=HKG
104.16.28.128 	 colo=HKG
104.16.16.192 	 colo=HKG
104.16.36.192 	 colo=HKG
104.16.37.64 	 colo=HKG
104.16.38.64 	 colo=HKG
104.16.39.0 	 colo=HKG
104.16.30.64 	 colo=HKG
104.16.39.64 	 colo=HKG
104.16.4.0 	 
104.16.40.0 	 colo=HKG
104.16.32.64 	 colo=HKG
104.16.10.0 	 
104.16.40.64 	 colo=HKG
104.16.40.128 	 colo=HKG
104.16.31.128 	 colo=HKG
104.16.39.128 	 colo=HKG
104.16.40.192 	 colo=HKG
104.16.33.64 	 colo=HKG
104.16.42.0 	 colo=HKG
104.16.39.192 	 colo=HKG
104.16.17.192 	 
104.16.41.64 	 colo=HKG
104.16.41.128 	 colo=HKG
104.16.43.0 	 colo=HKG
104.16.41.192 	 colo=HKG
104.16.43.64 	 colo=HKG
104.16.42.64 	 colo=HKG
104.16.44.64 	 colo=HKG
104.16.27.64 	 colo=HKG
104.16.36.128 	 colo=HKG
104.16.35.64 	 colo=HKG
104.16.43.128 	 colo=HKG
104.16.37.128 	 colo=HKG
104.16.44.192 	 colo=HKG
104.16.20.64 	 
104.16.45.128 	 colo=HKG
104.16.46.0 	 colo=HKG
104.16.37.192 	 colo=HKG
104.16.46.192 	 colo=HKG
104.16.43.192 	 colo=HKG
104.16.46.128 	 colo=HKG
104.16.28.192 	 colo=HKG
104.16.44.0 	 colo=HKG
104.16.38.128 	 colo=HKG
104.16.48.0 	 colo=HKG
104.16.1.0 	 
104.16.48.128 	 colo=HKG
104.16.48.192 	 colo=HKG
104.16.22.192 	 
104.16.49.128 	 colo=HKG
104.16.47.128 	 colo=HKG
104.16.47.192 	 colo=HKG
104.16.24.64 	 
104.16.49.64 	 colo=HKG
104.16.50.192 	 colo=HKG
104.16.50.64 	 colo=HKG
104.16.26.64 	 
104.16.26.192 	 
104.16.42.192 	 colo=HKG
104.16.42.128 	 colo=HKG
104.16.50.128 	 colo=HKG
104.16.52.0 	 colo=HKG
104.16.51.128 	 colo=HKG
104.16.52.128 	 colo=HKG
104.16.53.64 	 colo=HKG
104.16.45.64 	 colo=HKG
104.16.29.0 	 
104.16.18.192 	 
104.16.53.192 	 colo=HKG
104.16.53.0 	 colo=HKG
104.16.36.64 	 colo=HKG
104.16.54.64 	 colo=HKG
104.16.44.128 	 colo=HKG
104.16.55.0 	 colo=HKG
104.16.30.0 	 
104.16.55.128 	 colo=HKG
104.16.54.128 	 colo=HKG
104.16.55.192 	 colo=HKG
104.16.56.0 	 colo=HKG
104.16.30.192 	 
104.16.57.128 	 colo=HKG
104.16.31.192 	 
104.16.58.128 	 colo=HKG
104.16.52.64 	 colo=HKG
104.16.33.192 	 
104.16.59.0 	 colo=HKG
104.16.59.64 	 colo=HKG
104.16.59.192 	 colo=HKG
104.16.37.0 	 
104.16.60.0 	 colo=HKG
104.16.59.128 	 colo=HKG
104.16.38.0 	 
104.16.38.192 	 
104.16.54.0 	 colo=HKG
104.16.60.64 	 colo=HKG
104.16.60.128 	 colo=HKG
104.16.61.128 	 colo=HKG
104.16.62.64 	 colo=HKG
104.16.58.64 	 colo=HKG
104.16.41.0 	 
104.16.61.64 	 colo=HKG
104.16.63.64 	 colo=HKG
104.16.63.0 	 colo=HKG
104.16.49.192 	 colo=HKG
104.16.58.192 	 colo=HKG
104.16.62.0 	 colo=HKG
104.16.63.128 	 colo=HKG
104.16.61.192 	 colo=HKG
104.16.64.128 	 colo=HKG
104.16.64.64 	 colo=HKG
104.16.65.0 	 colo=HKG
104.16.65.64 	 colo=HKG
104.16.51.0 	 colo=HKG
104.16.46.64 	 colo=HKG
104.16.66.0 	 colo=HKG
104.16.45.0 	 
104.16.45.192 	 
104.16.65.192 	 colo=HKG
104.16.66.64 	 colo=HKG
104.16.66.192 	 colo=HKG
104.16.47.0 	 
104.16.47.64 	 
104.16.67.128 	 colo=HKG
104.16.48.64 	 
104.16.65.128 	 colo=HKG
104.16.66.128 	 colo=HKG
104.16.49.0 	 
104.16.68.128 	 colo=HKG
104.16.69.0 	 colo=HKG
104.16.69.192 	 colo=HKG
104.16.68.0 	 colo=HKG
104.16.67.192 	 colo=HKG
104.16.71.0 	 colo=HKG
104.16.62.192 	 colo=HKG
104.16.51.64 	 
104.16.62.128 	 colo=HKG
104.16.64.0 	 colo=HKG
104.16.51.192 	 
104.16.71.192 	 colo=HKG
104.16.70.64 	 colo=HKG
104.16.70.0 	 colo=HKG
104.16.72.0 	 colo=HKG
104.16.64.192 	 colo=HKG
104.16.53.128 	 
104.16.63.192 	 colo=HKG
104.16.73.64 	 colo=HKG
104.16.72.192 	 colo=HKG
104.16.74.0 	 colo=HKG
104.16.73.0 	 colo=HKG
104.16.71.128 	 colo=HKG
104.16.55.64 	 
104.16.74.64 	 colo=HKG
104.16.73.192 	 colo=HKG
104.16.75.64 	 colo=HKG
104.16.56.64 	 
104.16.56.128 	 
104.16.56.192 	 
104.16.74.192 	 colo=HKG
104.16.70.192 	 colo=HKG
104.16.75.0 	 colo=HKG
104.16.76.192 	 colo=HKG
104.16.77.0 	 colo=HKG
104.16.57.192 	 
104.16.61.0 	 colo=HKG
104.16.58.0 	 
104.16.77.192 	 colo=HKG
104.16.78.0 	 colo=HKG
104.16.76.64 	 colo=HKG
104.16.77.64 	 colo=HKG
104.16.78.64 	 colo=HKG
104.16.78.192 	 colo=HKG
104.16.76.128 	 colo=HKG
104.16.79.0 	 colo=HKG
104.16.69.64 	 colo=HKG
104.16.79.128 	 colo=HKG
104.16.80.64 	 colo=HKG
104.16.78.128 	 colo=HKG
104.16.79.192 	 colo=HKG
104.16.80.192 	 colo=HKG
104.16.75.128 	 colo=HKG
104.16.69.128 	 colo=HKG
104.16.68.192 	 colo=HKG
104.16.81.128 	 colo=HKG
104.16.82.64 	 colo=HKG
104.16.82.128 	 colo=HKG
104.16.80.128 	 colo=HKG
104.16.82.192 	 colo=HKG
104.16.81.0 	 colo=HKG
104.16.68.64 	 colo=HKG
104.16.50.0 	 
104.16.84.0 	 colo=HKG
104.16.84.128 	 colo=HKG
104.16.85.192 	 colo=HKG
104.16.84.192 	 colo=HKG
104.16.84.64 	 colo=HKG
104.16.71.64 	 colo=HKG
104.16.83.128 	 colo=HKG
104.16.82.0 	 colo=HKG
104.16.86.64 	 colo=HKG
104.16.87.64 	 colo=HKG
104.16.52.192 	 
104.16.87.192 	 colo=HKG
104.16.86.192 	 colo=HKG
104.16.60.192 	 
104.16.72.64 	 colo=HKG
104.16.54.192 	 
104.16.88.192 	 colo=HKG
104.16.88.128 	 colo=HKG
104.16.89.128 	 colo=HKG
104.16.57.0 	 
104.16.57.64 	 
104.16.67.0 	 colo=HKG
104.16.89.0 	 colo=HKG
104.16.89.192 	 colo=HKG
104.16.85.0 	 colo=HKG
104.16.90.0 	 colo=HKG
104.16.80.0 	 colo=HKG
104.16.89.64 	 colo=HKG
104.16.90.128 	 colo=HKG
104.16.90.192 	 colo=HKG
104.16.91.0 	 colo=HKG
104.16.91.192 	 colo=HKG
104.16.92.192 	 colo=HKG
104.16.90.64 	 colo=HKG
